match_id,home_team,away_team,team_id,team_name,team_is_home,score,outcome,player_name,rank,pagerank,pagerank_pct,betweenness,minutes_played
3894699,Barcelona,Almería,217,Barcelona,True,3-2,win,Ronald Federico Araújo da Silva,1,0.13841711818874672,13.84,0.4286,95
3894699,Barcelona,Almería,217,Barcelona,True,3-2,win,İlkay Gündoğan,2,0.1306921522851773,13.07,0.1648,95
3894699,Barcelona,Almería,217,Barcelona,True,3-2,win,João Pedro Cavaco Cancelo,3,0.11932206529154826,11.93,0.3407,95
3894699,Barcelona,Almería,217,Barcelona,True,3-2,win,Sergi Roberto Carnicer,4,0.09740912489230497,9.74,0.0769,95
3894699,Barcelona,Almería,217,Barcelona,True,3-2,win,Raphael Dias Belloli,5,0.06194150298793498,6.19,0.0659,75
3894699,Barcelona,Almería,217,Barcelona,True,3-2,win,Fermin Lopez Marin,6,0.05878071244615957,5.88,0.0,66
3894699,Barcelona,Almería,217,Barcelona,True,3-2,win,Alejandro Balde Martínez,7,0.05849808520215584,5.85,0.022,95
3894699,Barcelona,Almería,217,Barcelona,True,3-2,win,Robert Lewandowski,8,0.0544000642367661,5.44,0.0055,95
3894699,Barcelona,Almería,217,Barcelona,True,3-2,win,Andreas Christensen,9,0.05424992179824614,5.42,0.0412,45
3894699,Barcelona,Almería,217,Barcelona,True,3-2,win,Jules Koundé,10,0.05225733511857274,5.23,0.0714,50
3894699,Barcelona,Almería,217,Barcelona,True,3-2,win,Ferrán Torres García,11,0.046147415498446594,4.61,0.0,50
3894699,Barcelona,Almería,217,Barcelona,True,3-2,win,João Félix Sequeira,12,0.038345607011181344,3.83,0.0,45
3894699,Barcelona,Almería,217,Barcelona,True,3-2,win,Oriol Romeu Vidal,13,0.031225726439719107,3.12,0.0,29
3894699,Barcelona,Almería,217,Barcelona,True,3-2,win,Ignacio Peña Sotorres,14,0.030356058192413663,3.04,0.0,95
3894699,Barcelona,Almería,217,Barcelona,True,3-2,win,Lamine Yamal Nasraoui Ebana,15,0.027957110410626596,2.8,0.0,20
3894706,Granada,Sevilla,213,Sevilla,False,0-3,win,Óliver Torres Muñoz,1,0.13814725006061634,13.81,0.4643,94
3894706,Granada,Sevilla,213,Sevilla,False,0-3,win,Juan Luis Sánchez Velasco,2,0.10912068519124929,10.91,0.3077,94
3894706,Granada,Sevilla,213,Sevilla,False,0-3,win,Nemanja Gudelj,3,0.10685383381376204,10.69,0.3718,94
3894706,Granada,Sevilla,213,Sevilla,False,0-3,win,Boubakary Soumaré,4,0.08727630833868016,8.73,0.0,86
3894706,Granada,Sevilla,213,Sevilla,False,0-3,win,Enrique Jesús Salas Valiente,5,0.08486973374867163,8.49,0.0192,94
3894706,Granada,Sevilla,213,Sevilla,False,0-3,win,Jesús Joaquín Fernández Sáez de la Torre,6,0.08470335286665867,8.47,0.0485,71
3894706,Granada,Sevilla,213,Sevilla,False,0-3,win,Sergio Ramos García,7,0.06493992143976468,6.49,0.0,94
3894706,Granada,Sevilla,213,Sevilla,False,0-3,win,Adrià Giner Pedrosa,8,0.06180406509579644,6.18,0.0,94
