n_nodes,n_edges,density,efficiency,clustering,avg_path_length,reciprocity,team,team_id,match_id,sf,ec,result,points
15,102,0.4857142857142857,0.8095238095238095,0.09900415531461543,1.5523809523809524,0.7254901960784313,Deportivo Alavés,206,3894664,0.24740932642487046,0.21990746082414633,win,3
16,100,0.4166666666666667,0.7833333333333333,0.08969264837401128,1.6791666666666667,0.64,Deportivo Alavés,206,3894825,0.25558659217877094,0.19996430897845513,lost,0
15,93,0.44285714285714284,0.8,0.17435182380104344,1.6666666666666667,0.6451612903225806,Deportivo Alavés,206,3894839,0.29422382671480146,0.2133733851895184,win,3
16,104,0.43333333333333335,0.7819444444444448,0.17409355681638264,1.475,0.6538461538461539,Deportivo Alavés,206,3894905,0.2722772277227723,0.22111145267888271,draw,1
16,105,0.4375,0.7944444444444444,0.24200285404395577,1.625,0.6476190476190476,Deportivo Alavés,206,3894751,0.23716012084592145,0.21817191033604855,lost,0
16,118,0.49166666666666664,0.8194444444444444,0.15585128294938713,1.5625,0.6949152542372882,Deportivo Alavés,206,3894533,0.21754807692307693,0.21469109415064697,lost,0
16,115,0.4791666666666667,0.8125,0.16519426656842703,1.5541666666666667,0.6956521739130435,Deportivo Alavés,206,3894689,0.1503957783641161,0.2156992147067574,lost,0
15,101,0.48095238095238096,0.804761904761905,0.2366013351573347,1.6476190476190475,0.7128712871287128,Deportivo Alavés,206,3894748,0.2737341772151899,0.23199259633423652,win,3
16,122,0.5083333333333333,0.8333333333333334,0.22199139226251954,1.4958333333333333,0.6885245901639344,Deportivo Alavés,206,3894585,0.24404761904761904,0.22525289659738074,lost,0
16,120,0.5,0.8097222222222223,0.18288384273375255,1.5333333333333334,0.75,Deportivo Alavés,206,3894798,0.2536231884057971,0.22533661734738483,lost,0
16,115,0.4791666666666667,0.8000000000000003,0.140057584766918,1.5666666666666667,0.7304347826086957,Deportivo Alavés,206,3894715,0.23743016759776536,0.21851514439731584,draw,1
16,107,0.44583333333333336,0.7916666666666669,0.14205204794592527,1.4333333333333333,0.6728971962616822,Deportivo Alavés,206,3894784,0.21948608137044967,0.2030913988805198,draw,1
16,118,0.49166666666666664,0.8069444444444444,0.17667082097617196,1.5458333333333334,0.7457627118644068,Deportivo Alavés,206,3894874,0.17877906976744187,0.21976612541438062,draw,1
16,135,0.5625,0.8333333333333334,0.10646472996403707,1.45,0.8148148148148148,Deportivo Alavés,206,3894635,0.18161925601750548,0.2228376283029042,lost,0
15,108,0.5142857142857142,0.8285714285714286,0.14264858167111946,1.3428571428571427,0.7222222222222222,Deportivo Alavés,206,3894760,0.2256857855361596,0.21709402316663967,draw,1
16,112,0.4666666666666667,0.8,0.13590879573788558,1.5791666666666666,0.7142857142857143,Deportivo Alavés,206,3894814,0.22694174757281554,0.2109069312859596,lost,0
15,99,0.4714285714285714,0.8095238095238095,0.19967254161446568,1.661904761904762,0.6868686868686869,Deportivo Alavés,206,3894737,0.22739361702127658,0.20673748468266653,win,3
16,99,0.4125,0.7708333333333335,0.10574488970638903,1.6958333333333333,0.6666666666666666,Deportivo Alavés,206,3894649,0.28044871794871795,0.20036642792420115,lost,0
15,98,0.4666666666666667,0.7904761904761909,0.16647851393991647,1.457142857142857,0.7142857142857143,Deportivo Alavés,206,3894562,0.25857142857142856,0.2220997324838418,draw,1
16,111,0.4625,0.7944444444444446,0.1903737038597866,1.6375,0.7027027027027027,Deportivo Alavés,206,3894863,0.2949438202247191,0.20997016460107612,win,3
16,109,0.45416666666666666,0.7986111111111112,0.1686943237927371,1.6083333333333334,0.6788990825688074,Deportivo Alavés,206,3894557,0.2345679012345679,0.20762080350991186,lost,0
