top1_pr,top3_pr,top5_pr,pr_std,pr_gini,n_nodes,team,fragility_pagerank,fragility_betweenness
9.593526492749065,25.001103684193428,39.06115061273047,0.025654481702261565,0.4125603186743993,29,Deportivo Alavés,0.4127,0.4578
8.765214302900933,24.477921542128172,38.055242435109854,0.0239379000689964,0.4939914560430048,40,Granada,0.4976,0.5178
9.129044170145614,24.6604248529069,36.52606130371534,0.023433092712708135,0.37541491300155994,29,Barcelona,0.2502,0.2831
7.497960782346127,20.34442880649748,31.868622340297208,0.020018325334830455,0.3924424937440308,35,Almería,0.3471,0.3232
7.174454596542936,20.416146222970248,31.82654333600129,0.020856570943083012,0.40915988939333486,35,Sevilla,0.2971,0.2523
9.79105819031696,22.795637277711677,34.23868083947698,0.022694819544667285,0.4113955941768812,33,Cádiz,0.3322,0.3795
11.656468754384802,30.315993819624467,45.68809218173316,0.031608098374385135,0.43603041993609765,25,Girona,0.3256,0.3448
7.108579109509096,20.66722710546565,33.47587924496417,0.021392614899783304,0.3314073652627473,27,Athletic Club,0.2343,0.2496
7.8717663238983535,22.822424686006148,36.818305679277955,0.023349963378453662,0.4041846111077042,31,Real Sociedad,0.3399,0.3595
7.009337927555796,20.74328487090954,33.55153495345843,0.02024117761608484,0.28964988568558186,25,Mallorca,0.2618,0.2575
8.729993651326744,20.52356061207149,30.55883013592316,0.019118575380776406,0.3690086469734113,35,Real Betis,0.3295,0.3491
9.969316369994734,25.733837867188196,39.93097844935303,0.025610408871835588,0.38636586601830764,27,Atlético Madrid,0.3323,0.3441
8.93497418817128,22.880118738926473,32.8540989337866,0.01998408114156922,0.3499441260724186,32,Villarreal,0.3082,0.3241
10.623285513132661,26.20841440277264,38.284164011778934,0.02380370186169175,0.3868869082910684,31,Celta Vigo,0.1865,0.2221
10.865400296240967,26.17990988255864,38.52726428498191,0.0260110978527026,0.4266652593492669,30,Valencia,0.3781,0.3818
12.676931205451847,28.921759628066162,40.97787381517725,0.02859221230716777,0.4347202792240555,29,Las Palmas,0.3614,0.3301
6.991124101253865,20.44329831919122,33.05345710162005,0.02248635014657999,0.37214792413045683,29,Osasuna,0.4062,0.418
8.730168516057127,23.48101636989193,35.88656922946534,0.022966982149649547,0.35212626910370626,27,Real Madrid,0.3004,0.3479
9.167756007828093,23.852825062823236,36.49877863998825,0.023543456189706304,0.41624880342025805,32,Getafe,0.3834,0.3791
9.18375817992742,24.80434245682199,37.59583551236574,0.024173314889468434,0.356896845074473,26,Rayo Vallecano,0.2806,0.2882
